id,colour,size
PN70770,,
PN454,,
PN134,,
PN19505,,
PN206,,
PN31279,,
PN31280,,
PN31281,,
PN31282,,
PN31283,,
PN31284,,
PN31286,,
PN31287,,
PN31290,,
PN31292,,
PN31294,,
PN31295,,
PN31305,,
PN31306,,
PN31311,,
PN31314,,
PN31328,,
PN447,,
PN56704,,
PN57221,,
PN60205,,
PN60206,,
PN69916,,
PN70021,,
PN70036,"Blue,Violet,Orange,","200M,"
PN70037,"Blue,Orange,Violet,","50m,"
PN70038,"Blue,Orange,Violet,","30m,"
PN9061,"Anis,Blue,","35 metres,"
PN9062,"Orange,Blue,","60 metres,"
PN9063,"Orange/Green,","50 metres,"
PN9064,"Orange/Green,","60 metres,"
PN9191,"Anis,Orange,","60 metres,"
PN9192,"Blue,Red,","50 metres,"
PN9194,"Anis/Emerald,","60 metres,"
PN9195,"Emerald/Orange,","50 metres,"
PN9196,"Orange,","60 metres,"
PN9197,"Emerald,","50 metres,"
PN20350,"Midnight,","Size 10,Size 12,Size 14,SIZE 8,"
PN20375,"Black/Thunder,Limoges Blue,Extrem Red/Carbon,Rich Olive/Poplar,","Medium,Small,Large,Xlarge,"
PN20390,"Black,Blue/Red,","Medium,Large,XLarge,XXLarge,"
PN20393,"Molten Lava,Jet Black,Extrem Blue,","90 Litres,"
PN30830,"Black Reg Leg,Black Short Leg,Black Long Leg,","Small,Medium,Large,XLarge,XXLarge,"
PN30833,"Black 29 Inch,Black 31 Inch,Black 33 Inch,","UK8,UK10,UK12,UK14,UK16,UK18,"
PN4249,"Coal,Tasmania,","Small 3-5,Medium 5-7,Large,"
PN4251,"Coal,Eclipse,Tasmania,","Small 3-5,Medium 5-7,Large,"
PN4264,"Coal,","70 Litres,"
PN5334,"Black 32&quot; Leg,","Waist 32,Waist 34,Waist 36,"
PN5335,"Carbon/Thunder,Spring Green/Fern,","Medium,Small,Large,XLarge,"
PN5340,"Cerise Noire,","Size 10,Size 8,Size 12,Size 14,Size 18,"
PN5341,"Cerise Noire/Cherry Ripe,Damson Grey/Cloud,","Size 10,Size 12,Size 14,"
PN5344,"Black,Intense Blue/Twilight,Extrem Red/Tango Red,","Small,Medium,Large,XLarge,XXL,"
PN5349,"Thunder/Carbon,Intense Blue/Twilight,","Small,Medium,Large,XLarge,"
PN5351,"Purple Dusk/Parachute,Blue Aster/Lagoon,","Size 8,Size 10,Size 12,Size 14,"
PN5353,"Parachute Purple/Tropical,Blue Lagoon/Aster,","Size 10,Size 12,Size 14,Size 16,"
PN5354,"Midnight,","Size 10,Size 12,Size 14,"
PN5361,"Thunder/Black,","Medium,Large,XLarge,"
PN5363,"Black 31 Leg,Black 33 Leg,","Small,Medium,Large,XLarge,XXLarge,"
PN5365,"Thunder,Twilight Blue,","Medium,Large,XLarge,"
PN5366,"Black,Eclipse,","Small,Medium,Large,XLarge,XXL,"
PN5369,"Orient Purple/Tropical,Caneel Bay,","Size 10,Size 12,Size 14,Size 16,"
PN5370,"Eclipse,Black,Spark/Grape,","Size 10,Size 12,Size 14,Size 16,Size 18,"
PN5392,"Jet Black,","120 Litres,"
PN6728,"Blue Black,Silver Cloud,","Size 8 29 Inch Leg,Size 10 31 Inch Leg,Size 12 31 Inch Leg,Size 10 29 Inch Leg,Size 14 31 Inch Leg,Size 12 29 Inch Leg,Size 14 29 Inch Leg,Size 16 29 Inch Leg,Size 16 31 Inch Leg,"
PN6731,"Magenta,Hailstone Skies,","Size 8,Size 10,Size 12,Size 14,Size 16,"
PN6733,"Slate Stone,","65 Litres,"
PN6735,"Valour Blue,Ember Glow,","Size 10,Size 12,Size 14,"
PN6736,"Atlantic Blue,Steam Grey,","Medium,Large,XLarge,"
PN6737,"Extrem Red,Carbon,Thunder,Trail Green,Black,","Medium,Small,Large,XLarge,"
PN6747,"Slate Stone/Black,","80 Litres,"
PN6749,"Simple Purple,Black,","Size 10,Size 12,Size 14,Size 16,"
PN6752,"Black,Fire,","Small,Medium,Large,XLarge,"
PN6757,"Black,Orient Purple/Midnight,","Size 8,Size 10,Size 12,Size 14,"
PN6758,"Black/Thunder,Intense Blue/Twilight,","Medium,Small,Large,XLarge,"
PN6767,"Stained Glass/Atlantic Blue,Slate Stone/Trail Green,","32 Litres,"
PN6773,"Slate stone,","Size 8,Size 10,Size 12,Size 14,"
PN6775,"Black,Lime Zest,","Size 10,Size 12,Size 14,"
PN6777,"Dubarry/Lime Zest,","Size 10,Size 12,Size 14,"
PN6779,"Geranium,","Size 10,Size 12,Size 14,"
PN6781,"Blue Lagoon/Blue Aster,Lime Zest/Kiwi,","Size 10,Size 12,Size 14,"
PN7755,"Carbon Marl,Dusk Marl,Mykonos Blue Marl,","Small,Medium,Large,XLarge,"
PN7756,"Cerise Noire,","Size 10,Size 12,Size 14,"
PN7758,"Extrem Red,Eclipse,Black,","Small,Medium,Large,XLarge,"
PN7760,"Black,Intense Blue/Twilight,","Small,Medium,Large,XLarge,XXLarge,"
PN7763,"Carbon,Mykonos Blue,","Small,Medium,Large,XLarge,XXLarge,"
PN7764,"Blue Aster/Midnight,Magenta/Cerise,","Size 8,Size 10,Size 12,Size 14,"
PN7765,"Cherry Pie/Magenta,Grey Mist/Cloud Grey,","Size 10,Size 12,Size 14,Size 16,"
PN7767,"Carbon/Black,Intense Blue/Twilight,Extrem Red/Carbon,","Small,Medium,Large,XLarge,"
PN7768,"Black,","Size 10 29 Leg,Size 10 31 Leg,Size 12 29 Leg,Size 12 31 Leg,Size 14 29 Leg,Size 14 31 Leg,Size 16 29 Leg,"
PN7770,"Black,Eclipse,","Small,Medium,Large,XLarge,XXLarge,"
PN7771,"Black,Eclipse,Popular Green,","Small,Medium,Large,XLarge,XXLarge,"
